date,confirmed
20200501,0
20200502,1
20200503,2
20200504,1
20200505,0
20200506,1
20200507,0
20200508,0
20200509,2
20200510,0
20200511,0
20200512,1
20200513,0
20200514,0
20200515,5
20200516,1
20200517,1
20200518,1
20200519,0
20200520,1
20200521,0
20200522,0
20200523,1
20200524,0
20200525,1
20200526,1
20200527,1
20200528,0
20200529,1
20200530,0
20200531,0
20200601,1
20200602,1
20200603,0
20200604,4
20200605,1
20200606,0
20200607,1
20200608,0
20200609,1
20200610,6
20200611,5
20200612,1
20200613,2
20200614,1
20200615,3
20200616,0
20200617,2
20200618,0
20200619,1
20200620,0
20200621,3
20200622,0
20200623,2
20200624,0
20200625,2
20200626,1
20200627,1
20200628,1
20200629,4
20200630,0
20200701,1
20200702,1
20200703,1
20200704,1
20200705,0
20200706,2
20200707,0
20200708,3
20200709,1
20200710,0
20200711,2
20200712,1
20200713,0
20200714,3
20200715,0
20200716,1
20200717,0
20200718,0
20200719,0
20200720,2
20200721,2
20200722,1
20200723,1
20200724,2
20200725,1
20200726,0
20200727,2
20200728,1
20200729,0
20200730,0
20200731,4
20200801,1
20200802,0
20200803,1
20200804,2
20200805,5
20200806,7
20200807,2
20200808,2
20200809,18
20200810,9
20200811,4
20200812,2
20200813,16
20200814,4
20200815,5
20200816,3
20200817,14
20200818,8
20200819,1
20200820,11
20200821,13
20200822,0
20200823,5
20200824,2
20200825,4
20200826,2
20200827,3
20200828,3
20200829,3
20200830,6
20200831,1
20200901,4
20200902,0
20200903,5
20200904,3
20200905,2
20200906,4
20200907,0
20200908,1
20200909,6
20200910,8
20200911,2
20200912,3
20200913,5
20200914,1
20200915,2
20200916,4
20200917,12
20200918,2
20200919,4
20200920,2
20200921,1
20200922,0
20200923,2
20200924,4
20200925,0
20200926,1
20200927,10
20200928,5
20200929,2
20200930,7
20201001,1
20201002,4
20201003,1
20201004,10
20201005,2
20201006,1
20201007,5
20201008,6
20201009,2
20201010,10
20201011,5
20201012,3
20201013,5
20201014,3
20201015,11
20201016,5
20201017,5
20201018,5
20201019,5
20201020,2
20201021,8
20201022,9
20201023,9
20201024,5
20201025,11
20201026,3
20201027,7
20201028,6
20201029,13
20201030,8
20201031,5
20201101,6
20201102,9
20201103,4
20201104,10
20201105,15
20201106,11
20201107,7
20201108,13
20201109,5
20201110,5
20201111,4
20201112,3
20201113,5
20201114,1
20201115,0
20201116,4
20201117,4
20201118,1
20201119,4
20201120,2
20201121,4
20201122,2
20201123,4
20201124,2
20201125,5
20201126,3
20201127,0
20201128,3
20201129,5
20201130,2
20201201,1
20201202,8
20201203,9
20201204,3
20201205,6
20201206,7
20201207,4
20201208,6
20201209,9
20201210,5
20201211,5
20201212,10
20201213,7
20201214,3
20201215,3
20201216,6
20201217,4
20201218,8
20201219,11
20201220,8
20201221,6
20201222,12
20201223,6
20201224,4
20201225,5
20201226,4
20201227,2
20201228,4
20201229,7
20201230,6
20201231,5
20210101,4
20210102,6
