date,confirmed
20200501,0
20200502,0
20200503,0
20200504,0
20200505,0
20200506,0
20200507,0
20200508,0
20200509,0
20200510,0
20200511,0
20200512,0
20200513,0
20200514,0
20200515,0
20200516,0
20200517,0
20200518,0
20200519,0
20200520,0
20200521,0
20200522,0
20200523,0
20200524,0
20200525,0
20200526,0
20200527,0
20200528,0
20200529,0
20200530,0
20200531,0
20200601,0
20200602,0
20200603,0
20200604,0
20200605,0
20200606,0
20200607,0
20200608,0
20200609,0
20200610,0
20200611,0
20200612,0
20200613,0
20200614,0
20200615,0
20200616,0
20200617,0
20200618,0
20200619,0
20200620,0
20200621,0
20200622,0
20200623,0
20200624,0
20200625,0
20200626,0
20200627,0
20200628,0
20200629,0
20200630,0
20200701,0
20200702,1
20200703,0
20200704,0
20200705,0
20200706,0
20200707,1
20200708,0
20200709,0
20200710,0
20200711,0
20200712,0
20200713,0
20200714,1
20200715,0
20200716,0
20200717,0
20200718,0
20200719,0
20200720,0
20200721,1
20200722,0
20200723,0
20200724,0
20200725,0
20200726,0
20200727,1
20200728,0
20200729,1
20200730,0
20200731,0
20200801,0
20200802,0
20200803,0
20200804,0
20200805,0
20200806,0
20200807,0
20200808,0
20200809,0
20200810,0
20200811,0
20200812,0
20200813,0
20200814,0
20200815,0
20200816,4
20200817,0
20200818,0
20200819,0
20200820,0
20200821,0
20200822,0
20200823,3
20200824,0
20200825,1
20200826,0
20200827,0
20200828,0
20200829,0
20200830,0
20200831,0
20200901,0
20200902,0
20200903,0
20200904,2
20200905,0
20200906,0
20200907,0
20200908,0
20200909,0
20200910,0
20200911,0
20200912,0
20200913,2
20200914,1
20200915,1
20200916,1
20200917,0
20200918,0
20200919,0
20200920,2
20200921,1
20200922,0
20200923,0
20200924,0
20200925,0
20200926,0
20200927,0
20200928,0
20200929,0
20200930,0
20201001,0
20201002,0
20201003,2
20201004,0
20201005,0
20201006,0
20201007,0
20201008,0
20201009,0
20201010,0
20201011,0
20201012,0
20201013,0
20201014,0
20201015,0
20201016,0
20201017,0
20201018,0
20201019,0
20201020,0
20201021,0
20201022,0
20201023,0
20201024,0
20201025,0
20201026,0
20201027,0
20201028,0
20201029,1
20201030,1
20201031,0
20201101,0
20201102,0
20201103,0
20201104,0
20201105,1
20201106,0
20201107,0
20201108,0
20201109,0
20201110,0
20201111,0
20201112,0
20201113,0
20201114,3
20201115,0
20201116,0
20201117,0
20201118,0
20201119,0
20201120,0
20201121,0
20201122,0
20201123,0
20201124,0
20201125,0
20201126,0
20201127,1
20201128,1
20201129,0
20201130,0
20201201,0
20201202,0
20201203,0
20201204,0
20201205,1
20201206,1
20201207,0
20201208,0
20201209,0
20201210,1
20201211,1
20201212,1
20201213,0
20201214,0
20201215,2
20201216,0
20201217,1
20201218,0
20201219,0
20201220,0
20201221,0
20201222,0
20201223,0
20201224,0
20201225,2
20201226,0
20201227,0
20201228,0
20201229,0
20201230,0
20201231,1
20210101,0
20210102,0
20210103,0
20210104,0
20210105,0
20210106,0
20210107,0
20210108,0
20210109,0
20210110,1
20210111,0
20210112,0
20210113,0
20210114,0
20210115,0
20210116,0
20210117,0
20210118,0
20210119,0
20210120,0
20210121,0
20210122,0
20210123,0
20210124,0
20210125,0
20210126,0
20210127,0
20210128,0
20210129,0
20210130,0
20210131,0
20210201,0
20210202,0
20210203,0
20210204,0
20210205,0
20210206,0
20210207,0
20210208,0
20210209,0
20210210,0
20210211,0
20210212,0
20210213,0
20210214,0
20210215,0
20210216,0
20210217,0
20210218,0
20210219,0
20210220,0
20210221,0
20210222,0
20210223,0
20210224,0
20210225,0
20210226,0
20210227,2
20210228,0
20210301,0
20210302,1
20210303,0
20210304,0
20210305,0
20210306,0
20210307,0
20210308,0
20210309,0
20210310,0
20210311,0
20210312,0
20210313,0
20210314,0
20210315,0
20210316,0
20210317,0
20210318,0
20210319,0
20210320,0
20210321,0
20210322,1
20210323,0
20210324,0
20210325,0
20210326,0
20210327,0
20210328,0
20210329,0
20210330,6
20210331,6
20210401,4
20210402,8
20210403,10
20210404,15
20210405,15
20210406,2
20210407,11
20210408,8
20210409,1
20210410,0
20210411,2
20210412,1
20210413,1
20210414,0
20210415,1
20210416,1
20210417,1
20210418,2
20210419,1
20210420,2
20210421,1
20210422,3
20210423,1
20210424,0
20210425,3
20210426,0
20210427,1
20210428,0
20210429,0
20210430,1
20210501,1
20210502,0
20210503,1
20210504,0
20210505,2
20210506,0
20210507,0
20210508,0
20210509,1
20210510,0
20210511,0
20210512,0
20210513,0
20210514,0
20210515,3
20210516,0
20210517,0
20210518,0
20210519,0
20210520,0
20210521,0
20210522,1
20210523,0
20210524,0
20210525,0
20210526,0
20210527,0
20210528,0
20210529,0
20210530,0
20210531,0
20210601,1
20210602,0
20210603,2
20210604,1
20210605,2
20210606,2
20210607,1
20210608,0
20210609,1
20210610,1
20210611,6
20210612,5
20210613,2
20210614,1
20210615,0
20210616,3
20210617,2
20210618,2
20210619,4
20210620,3
20210621,0
20210622,0
20210623,3
20210624,2
20210625,5
20210626,5
20210627,5
20210628,4
20210629,2
20210630,2
20210701,0
20210702,4
20210703,4
20210704,8
20210705,3
20210706,15
20210707,2
20210708,17
20210709,11
20210710,16
20210711,12
20210712,7
20210713,11
20210714,12
20210715,15
20210716,13
20210717,12
20210718,10
20210719,49
20210720,8
20210721,22
20210722,13
20210723,5
20210724,7
20210725,18
20210726,19
20210727,18
20210728,16
20210729,21
20210730,9
20210731,10
20210801,17
20210802,10
20210803,10
20210804,11
20210805,11
20210806,11
20210807,11
20210808,8
20210809,11
20210810,7
20210811,8
20210812,9
20210813,6
20210814,3
20210815,11
20210816,15
20210817,8
20210818,7
20210819,8
20210820,3
20210821,7
20210822,3
20210823,4
20210824,7
20210825,10
20210826,8
20210827,8
20210828,17
20210829,3
20210830,22
20210831,4
20210901,9
20210902,9
20210903,7
20210904,9
20210905,4
20210906,22
20210907,9
20210908,17
20210909,4
20210910,13
20210911,11
20210912,17
20210913,14
20210914,13
20210915,23
20210916,17
20210917,9
20210918,9
20210919,9
20210920,12
20210921,14
20210922,5
20210923,13
20210924,7
20210925,10
20210926,12
20210927,11
20210928,8
20210929,5
20210930,9
20211001,14
20211002,9
20211003,7
20211004,5
20211005,13
20211006,13
20211007,6
20211008,3
20211009,10
20211010,14
20211011,5
20211012,5
20211013,6
20211014,3
20211015,1
20211016,2
20211017,6
20211018,4
20211019,1
20211020,0
20211021,4
20211022,1
20211023,1
20211024,0
20211025,0
20211026,0
20211027,0
20211028,3
20211029,0
20211030,2
20211031,4
20211101,2
20211102,4
20211103,3
20211104,2
20211105,4
20211106,12
20211107,9
20211108,4
20211109,3
20211110,8
20211111,6
20211112,7
20211113,4
20211114,5
20211115,6
20211116,4
20211117,2
20211118,1
20211119,2
20211120,3
20211121,6
20211122,4
20211123,5
20211124,5
20211125,0
20211126,5
20211127,8
20211128,6
20211129,2
20211130,8
20211201,3
20211202,10
20211203,7
20211204,9
20211205,6
20211206,7
20211207,3
20211208,3
20211209,6
20211210,2
20211211,2
20211212,2
20211213,3
20211214,3
20211215,1
20211216,5
20211217,1
20211218,3
20211219,2
20211220,0
20211221,4
20211222,1
20211223,3
20211224,6
20211225,4
20211226,0
20211227,3
20211228,3
20211229,4
20211230,2
20211231,2
20220101,1
20220102,2
20220103,3
20220104,0
20220105,2
20220106,1
20220107,3
20220108,1
20220109,6
20220110,2
20220111,0
20220112,0
20220113,0
20220114,2
20220115,3
20220116,2
20220117,4
20220118,1
20220119,2
20220120,0
20220121,1
20220122,5
20220123,5
20220124,4
20220125,0
20220126,5
20220127,5
20220128,0
20220129,4
20220130,0
20220131,0
20220201,0
20220202,1
20220203,0
20220204,2
20220205,0
20220206,0
20220207,0
20220208,0
20220209,0
20220210,1
20220211,0
20220212,2
20220213,1
20220214,0
20220215,3
20220216,2
20220217,3
20220218,4
20220219,3
20220220,4
20220221,6
20220222,5
20220223,5
20220224,5
20220225,9
20220226,6
20220227,3
20220228,4
20220301,3
20220302,1
20220303,6
20220304,2
20220305,4
20220306,4
20220307,6
20220308,5
20220309,5
20220310,6
20220311,4
20220312,2
20220313,5
20220314,4
20220315,7
20220316,6
20220317,6
20220318,1
20220319,4
20220320,4
20220321,3
20220322,2
20220323,1
20220324,3
20220325,1
20220326,1
20220327,1
20220328,2
20220329,4
20220330,2
20220331,1
20220401,2
20220402,0
20220403,1
20220404,2
20220405,2
20220406,1
20220407,3
20220408,0
20220409,1
20220410,2
20220411,1
20220412,1
20220413,6
20220414,6
20220415,1
20220416,0
20220417,2
20220418,2
20220419,2
20220420,1
20220421,5
20220422,0
20220423,2
20220424,2
20220425,0
20220426,0
20220427,0
20220428,1
20220429,2
20220430,0
20220501,0
20220502,0
20220503,0
20220504,1
20220505,0
20220506,0
20220507,0
20220508,0
20220509,0
20220510,1
20220511,4
20220512,0
20220513,0
20220514,2
20220515,1
20220516,2
20220517,0
20220518,2
20220519,1
20220520,0
20220521,2
20220522,0
