date,confirmed
20200501,0
20200502,0
20200503,0
20200504,0
20200505,0
20200506,0
20200507,0
20200508,0
20200509,0
20200510,0
20200511,0
20200512,0
20200513,0
20200514,0
20200515,0
20200516,0
20200517,0
20200518,0
20200519,0
20200520,0
20200521,2
20200522,0
20200523,0
20200524,1
20200525,0
20200526,0
20200527,0
20200528,0
20200529,0
20200530,0
20200531,11
20200601,2
20200602,0
20200603,0
20200604,1
20200605,0
20200606,0
20200607,3
20200608,1
20200609,0
20200610,0
20200611,0
20200612,1
20200613,0
20200614,5
20200615,1
20200616,1
20200617,0
20200618,0
20200619,0
20200620,0
20200621,0
20200622,0
20200623,0
20200624,0
20200625,0
20200626,0
20200627,0
20200628,3
20200629,3
20200630,0
20200701,0
20200702,0
20200703,0
20200704,1
20200705,0
20200706,2
20200707,0
20200708,1
20200709,0
20200710,0
20200711,0
20200712,0
20200713,0
20200714,0
20200715,0
20200716,0
20200717,0
20200718,0
20200719,3
20200720,1
20200721,0
20200722,0
20200723,0
20200724,0
20200725,0
20200726,1
20200727,0
20200728,0
20200729,0
20200730,0
20200731,0
20200801,4
20200802,0
20200803,1
20200804,1
20200805,0
20200806,1
20200807,0
20200808,0
20200809,4
20200810,0
20200811,1
20200812,2
20200813,1
20200814,4
20200815,1
20200816,2
20200817,0
20200818,0
20200819,1
20200820,1
20200821,0
20200822,0
20200823,3
20200824,4
20200825,5
20200826,4
20200827,4
20200828,2
20200829,2
20200830,0
20200831,0
20200901,1
20200902,2
20200903,1
20200904,0
20200905,0
20200906,2
20200907,5
20200908,1
20200909,0
20200910,1
20200911,0
20200912,0
20200913,0
20200914,1
20200915,4
20200916,0
20200917,0
20200918,2
20200919,0
20200920,0
20200921,0
20200922,3
20200923,0
20200924,1
20200925,9
20200926,3
20200927,0
20200928,3
20200929,1
20200930,1
20201001,3
20201002,2
20201003,3
20201004,3
20201005,3
20201006,3
20201007,3
20201008,0
20201009,5
20201010,3
20201011,1
20201012,1
20201013,0
20201014,0
20201015,0
20201016,1
20201017,1
20201018,0
20201019,3
20201020,3
20201021,2
20201022,0
20201023,0
20201024,0
20201025,1
20201026,2
20201027,1
20201028,0
20201029,2
20201030,4
20201031,1
20201101,2
20201102,8
20201103,3
20201104,4
20201105,2
20201106,4
20201107,2
20201108,4
20201109,3
20201110,2
20201111,4
20201112,1
20201113,0
20201114,0
20201115,3
20201116,6
20201117,0
20201118,3
20201119,1
20201120,0
20201121,1
20201122,0
20201123,3
20201124,0
20201125,1
20201126,0
20201127,1
20201128,1
20201129,3
20201130,2
20201201,0
20201202,0
20201203,0
20201204,3
20201205,1
20201206,0
20201207,5
20201208,5
20201209,0
20201210,4
20201211,0
20201212,3
20201213,3
20201214,6
20201215,0
20201216,0
20201217,1
20201218,0
20201219,1
20201220,1
20201221,2
20201222,0
20201223,2
20201224,1
20201225,1
20201226,0
20201227,1
20201228,3
20201229,0
20201230,2
20201231,0
20210101,0
20210102,0
20210103,3
20210104,1
20210105,0
20210106,0
20210107,0
20210108,0
20210109,0
20210110,0
20210111,0
20210112,0
20210113,0
20210114,1
20210115,2
20210116,2
20210117,1
20210118,0
20210119,2
20210120,0
20210121,0
20210122,1
20210123,0
20210124,0
20210125,0
20210126,1
20210127,1
20210128,0
20210129,1
20210130,1
20210131,0
20210201,1
20210202,2
20210203,0
20210204,0
20210205,0
20210206,0
20210207,0
20210208,1
20210209,1
20210210,0
20210211,2
20210212,0
20210213,1
20210214,0
20210215,1
20210216,1
20210217,2
20210218,0
20210219,1
20210220,2
20210221,2
20210222,0
20210223,2
20210224,1
20210225,0
20210226,1
20210227,0
20210228,9
20210301,4
20210302,5
20210303,1
20210304,0
20210305,1
20210306,7
20210307,2
20210308,4
20210309,0
20210310,3
20210311,2
20210312,0
20210313,0
20210314,0
20210315,6
20210316,2
20210317,0
20210318,0
20210319,0
20210320,0
20210321,0
20210322,1
20210323,1
20210324,0
20210325,0
20210326,2
20210327,2
20210328,2
20210329,3
20210330,0
20210331,0
20210401,1
20210402,0
20210403,0
20210404,3
20210405,0
20210406,2
20210407,0
20210408,0
20210409,0
20210410,1
20210411,0
20210412,2
20210413,1
20210414,1
20210415,0
20210416,2
20210417,2
20210418,0
20210419,1
20210420,1
20210421,0
20210422,2
20210423,1
20210424,0
20210425,2
20210426,5
20210427,3
20210428,1
20210429,0
20210430,2
20210501,0
20210502,1
20210503,6
20210504,2
20210505,2
20210506,0
20210507,0
20210508,0
20210509,1
20210510,4
20210511,1
20210512,1
20210513,0
20210514,1
20210515,1
20210516,1
20210517,2
20210518,0
20210519,1
20210520,1
20210521,2
20210522,4
20210523,3
20210524,1
20210525,2
20210526,1
20210527,3
20210528,2
20210529,1
20210530,0
20210531,2
20210601,1
20210602,2
20210603,2
20210604,1
20210605,6
20210606,1
20210607,1
20210608,2
20210609,1
20210610,2
20210611,1
20210612,3
20210613,4
20210614,1
20210615,1
20210616,1
20210617,0
20210618,0
20210619,1
20210620,1
20210621,5
20210622,12
20210623,3
20210624,5
20210625,6
20210626,1
20210627,4
20210628,2
20210629,1
20210630,2
20210701,0
20210702,6
20210703,1
20210704,2
20210705,0
20210706,1
20210707,1
20210708,0
20210709,3
20210710,2
20210711,2
20210712,1
20210713,1
20210714,1
20210715,1
20210716,0
20210717,3
20210718,0
20210719,1
20210720,1
20210721,5
20210722,2
20210723,4
20210724,1
20210725,0
20210726,1
20210727,5
20210728,4
20210729,1
20210730,1
20210731,1
20210801,2
20210802,3
20210803,1
20210804,0
20210805,2
20210806,2
20210807,2
20210808,1
20210809,3
20210810,3
20210811,1
20210812,2
20210813,4
20210814,0
20210815,0
20210816,1
20210817,0
20210818,1
20210819,1
20210820,0
20210821,1
20210822,1
20210823,2
20210824,0
20210825,0
20210826,1
20210827,1
20210828,1
20210829,0
20210830,2
20210831,0
20210901,0
20210902,1
20210903,0
20210904,1
20210905,2
20210906,0
20210907,0
20210908,1
20210909,0
20210910,1
20210911,0
20210912,1
20210913,2
20210914,0
20210915,2
20210916,0
20210917,0
20210918,3
20210919,2
20210920,0
20210921,1
20210922,0
20210923,0
20210924,0
20210925,0
20210926,0
20210927,0
20210928,0
20210929,0
20210930,1
20211001,1
20211002,0
20211003,0
20211004,0
20211005,0
20211006,2
20211007,1
20211008,0
20211009,1
20211010,0
20211011,1
20211012,0
20211013,0
20211014,0
20211015,0
20211016,4
20211017,2
20211018,0
20211019,0
20211020,0
20211021,0
20211022,0
20211023,0
20211024,0
20211025,1
20211026,0
20211027,1
20211028,0
20211029,0
20211030,0
20211031,3
20211101,0
20211102,2
20211103,2
20211104,2
20211105,5
20211106,4
20211107,5
20211108,9
20211109,1
20211110,0
20211111,0
20211112,1
20211113,3
20211114,0
20211115,1
20211116,0
20211117,2
20211118,1
20211119,0
20211120,0
20211121,2
20211122,1
20211123,2
20211124,1
20211125,0
20211126,0
20211127,2
20211128,0
20211129,0
20211130,5
20211201,1
20211202,0
20211203,0
20211204,0
20211205,0
20211206,5
20211207,3
20211208,0
20211209,6
20211210,5
20211211,2
20211212,0
20211213,0
20211214,0
20211215,0
20211216,1
20211217,0
20211218,1
20211219,1
20211220,1
20211221,0
20211222,0
20211223,3
20211224,1
20211225,0
20211226,3
20211227,0
20211228,6
20211229,1
20211230,3
20211231,2
20220101,4
20220102,1
20220103,3
20220104,0
20220105,2
20220106,1
20220107,1
20220108,8
20220109,1
20220110,2
20220111,1
20220112,0
20220113,2
20220114,0
20220115,6
20220116,5
20220117,3
20220118,2
20220119,0
20220120,0
20220121,3
20220122,4
20220123,2
20220124,0
20220125,0
20220126,1
20220127,0
20220128,0
20220129,1
20220130,0
20220131,0
20220201,0
20220202,0
20220203,0
20220204,0
20220205,3
20220206,0
20220207,3
20220208,1
20220209,0
20220210,0
20220211,5
20220212,1
20220213,1
20220214,1
20220215,1
20220216,2
20220217,1
20220218,2
20220219,2
20220220,9
20220221,8
20220222,10
20220223,9
20220224,12
20220225,2
20220226,9
20220227,3
20220228,3
20220301,6
20220302,9
20220303,13
20220304,9
20220305,10
20220306,11
20220307,2
20220308,13
20220309,4
20220310,6
20220311,12
20220312,3
20220313,8
20220314,4
20220315,9
20220316,2
20220317,0
20220318,4
20220319,4
20220320,2
20220321,6
20220322,7
20220323,12
20220324,6
20220325,12
20220326,12
20220327,12
20220328,27
20220329,24
20220330,21
20220331,20
20220401,24
20220402,36
20220403,24
20220404,46
20220405,24
20220406,21
20220407,14
20220408,1
20220409,6
20220410,10
20220411,7
20220412,1
20220413,5
20220414,3
20220415,1
20220416,4
20220417,5
20220418,4
20220419,3
20220420,4
20220421,2
20220422,1
20220423,1
20220424,2
20220425,1
20220426,4
20220427,3
20220428,1
20220429,1
20220430,1
20220501,8
20220502,5
20220503,1
20220504,1
20220505,1
20220506,1
20220507,0
20220508,0
20220509,1
20220510,1
20220511,0
20220512,6
20220513,3
20220514,14
20220515,14
20220516,16
20220517,49
20220518,41
20220519,20
20220520,34
20220521,12
20220522,5
