date,confirmed
20200501,0
20200502,0
20200503,0
20200504,0
20200505,0
20200506,0
20200507,0
20200508,1
20200509,0
20200510,0
20200511,0
20200512,0
20200513,0
20200514,0
20200515,0
20200516,1
20200517,0
20200518,0
20200519,0
20200520,0
20200521,0
20200522,0
20200523,0
20200524,0
20200525,0
20200526,0
20200527,0
20200528,0
20200529,0
20200530,0
20200531,0
20200601,0
20200602,0
20200603,0
20200604,0
20200605,0
20200606,1
20200607,0
20200608,0
20200609,1
20200610,1
20200611,0
20200612,1
20200613,0
20200614,0
20200615,0
20200616,0
20200617,1
20200618,0
20200619,0
20200620,0
20200621,1
20200622,0
20200623,0
20200624,0
20200625,0
20200626,0
20200627,0
20200628,0
20200629,0
20200630,0
20200701,0
20200702,0
20200703,0
20200704,1
20200705,0
20200706,0
20200707,0
20200708,0
20200709,0
20200710,0
20200711,4
20200712,0
20200713,0
20200714,0
20200715,0
20200716,0
20200717,0
20200718,0
20200719,0
20200720,0
20200721,0
20200722,0
20200723,0
20200724,0
20200725,1
20200726,0
20200727,0
20200728,0
20200729,0
20200730,1
20200731,0
20200801,0
20200802,0
20200803,0
20200804,0
20200805,0
20200806,0
20200807,0
20200808,0
20200809,0
20200810,0
20200811,0
20200812,0
20200813,0
20200814,0
20200815,2
20200816,0
20200817,2
20200818,0
20200819,1
20200820,6
20200821,0
20200822,2
20200823,0
20200824,1
20200825,1
20200826,0
20200827,0
20200828,0
20200829,1
20200830,5
20200831,3
20200901,0
20200902,0
20200903,1
20200904,1
20200905,0
20200906,1
20200907,1
20200908,0
20200909,0
20200910,0
20200911,0
20200912,1
20200913,0
20200914,0
20200915,0
20200916,0
20200917,3
20200918,0
20200919,0
20200920,0
20200921,1
20200922,1
20200923,0
20200924,0
20200925,1
20200926,0
20200927,0
20200928,0
20200929,0
20200930,0
20201001,0
20201002,0
20201003,1
20201004,0
20201005,1
20201006,0
20201007,0
20201008,0
20201009,2
20201010,0
20201011,1
20201012,0
20201013,0
20201014,0
20201015,2
20201016,4
20201017,1
20201018,2
20201019,2
20201020,0
20201021,0
20201022,0
20201023,3
20201024,1
20201025,0
20201026,0
20201027,1
20201028,2
20201029,2
20201030,5
20201031,0
20201101,1
20201102,2
20201103,0
20201104,0
20201105,2
20201106,0
20201107,0
20201108,1
20201109,1
20201110,6
20201111,2
20201112,0
20201113,2
20201114,2
20201115,0
20201116,1
20201117,1
20201118,0
20201119,0
20201120,5
20201121,1
20201122,1
20201123,1
20201124,0
20201125,0
20201126,0
20201127,1
20201128,0
20201129,0
20201130,0
20201201,0
20201202,0
20201203,0
20201204,0
20201205,1
20201206,0
20201207,0
20201208,0
20201209,0
20201210,0
20201211,1
20201212,0
20201213,0
20201214,0
20201215,1
20201216,0
20201217,0
20201218,1
20201219,0
20201220,0
20201221,0
20201222,0
20201223,0
20201224,0
20201225,0
20201226,0
20201227,1
20201228,1
20201229,3
20201230,0
20201231,0
20210101,3
20210102,1
20210103,1
20210104,1
20210105,1
20210106,0
20210107,0
20210108,0
20210109,4
20210110,2
20210111,2
20210112,0
20210113,0
20210114,0
20210115,3
20210116,1
20210117,1
20210118,0
20210119,1
20210120,5
20210121,0
20210122,0
20210123,1
20210124,2
20210125,0
20210126,2
20210127,2
20210128,1
20210129,0
20210130,0
20210131,1
20210201,0
20210202,0
20210203,0
20210204,1
20210205,1
20210206,0
20210207,0
20210208,0
20210209,1
20210210,0
20210211,0
20210212,1
20210213,0
20210214,1
20210215,0
20210216,0
20210217,0
20210218,2
20210219,0
20210220,0
20210221,1
20210222,0
20210223,1
20210224,1
20210225,0
20210226,1
20210227,1
20210228,0
20210301,1
20210302,0
20210303,0
20210304,1
20210305,3
20210306,0
20210307,0
20210308,0
20210309,0
20210310,0
20210311,0
20210312,1
20210313,0
20210314,1
20210315,1
20210316,0
20210317,3
20210318,1
20210319,0
20210320,2
20210321,0
20210322,0
20210323,2
20210324,0
20210325,0
20210326,0
20210327,1
20210328,0
20210329,0
20210330,0
20210331,0
20210401,0
20210402,0
20210403,1
20210404,1
20210405,0
20210406,0
20210407,0
20210408,0
20210409,0
20210410,1
20210411,0
20210412,0
20210413,1
20210414,0
20210415,0
20210416,2
20210417,0
20210418,1
20210419,0
20210420,2
20210421,1
20210422,0
20210423,0
20210424,1
20210425,0
20210426,0
20210427,1
20210428,0
20210429,0
20210430,0
20210501,0
20210502,0
20210503,0
20210504,1
20210505,0
20210506,0
20210507,1
20210508,0
20210509,0
20210510,0
20210511,0
20210512,1
20210513,0
20210514,0
20210515,0
20210516,0
20210517,0
20210518,0
20210519,1
20210520,0
20210521,0
20210522,1
20210523,1
20210524,2
20210525,0
20210526,0
20210527,0
20210528,0
20210529,0
20210530,0
20210531,0
20210601,0
20210602,0
20210603,0
20210604,0
20210605,1
20210606,0
20210607,1
20210608,0
20210609,0
20210610,0
20210611,1
20210612,2
20210613,0
20210614,0
20210615,0
20210616,0
20210617,1
20210618,0
20210619,0
20210620,0
20210621,0
20210622,0
20210623,0
20210624,1
20210625,0
20210626,1
20210627,0
20210628,0
20210629,0
20210630,0
20210701,0
20210702,0
20210703,1
20210704,0
20210705,0
20210706,2
20210707,0
20210708,0
20210709,2
20210710,0
20210711,0
20210712,1
20210713,1
20210714,0
20210715,4
20210716,0
20210717,0
20210718,0
20210719,3
20210720,0
20210721,0
20210722,1
20210723,1
20210724,1
20210725,0
20210726,0
20210727,1
20210728,0
20210729,0
20210730,3
20210731,3
20210801,0
20210802,3
20210803,1
20210804,0
20210805,1
20210806,5
20210807,0
20210808,0
20210809,0
20210810,1
20210811,0
20210812,0
20210813,2
20210814,3
20210815,1
20210816,0
20210817,3
20210818,11
20210819,1
20210820,1
20210821,1
20210822,3
20210823,1
20210824,1
20210825,1
20210826,1
20210827,0
20210828,4
20210829,2
20210830,1
20210831,2
20210901,0
20210902,0
20210903,1
20210904,2
20210905,0
20210906,0
20210907,0
20210908,0
20210909,0
20210910,0
20210911,1
20210912,0
20210913,0
20210914,1
20210915,0
20210916,0
20210917,0
20210918,1
20210919,0
20210920,0
20210921,0
20210922,3
20210923,0
20210924,1
20210925,0
20210926,1
20210927,1
20210928,0
20210929,0
20210930,0
20211001,3
20211002,0
20211003,0
20211004,0
20211005,0
20211006,0
20211007,2
20211008,2
20211009,0
20211010,0
20211011,0
20211012,1
20211013,3
20211014,2
20211015,0
20211016,0
20211017,0
20211018,0
20211019,0
20211020,0
20211021,0
20211022,1
20211023,0
20211024,1
20211025,0
20211026,1
20211027,0
20211028,0
20211029,0
20211030,1
20211031,0
20211101,1
20211102,0
20211103,0
20211104,1
20211105,1
20211106,0
20211107,0
20211108,2
20211109,0
20211110,1
20211111,0
20211112,3
20211113,5
20211114,0
20211115,0
20211116,1
20211117,8
20211118,0
20211119,0
20211120,1
20211121,0
20211122,0
20211123,0
20211124,0
20211125,1
20211126,1
20211127,0
20211128,0
20211129,1
20211130,0
20211201,1
20211202,1
20211203,0
20211204,2
20211205,0
20211206,0
20211207,1
20211208,1
20211209,0
20211210,0
20211211,0
20211212,0
20211213,0
20211214,0
20211215,0
20211216,0
20211217,2
20211218,1
20211219,1
20211220,1
20211221,2
20211222,1
20211223,0
20211224,9
20211225,8
20211226,2
20211227,1
20211228,7
20211229,4
20211230,4
20211231,9
20220101,5
20220102,2
20220103,1
20220104,5
20220105,4
20220106,9
20220107,6
20220108,4
20220109,25
20220110,18
20220111,37
20220112,47
20220113,37
20220114,41
20220115,34
20220116,80
20220117,18
20220118,14
20220119,14
20220120,8
20220121,6
20220122,5
20220123,3
20220124,1
20220125,2
20220126,1
20220127,4
20220128,6
20220129,4
20220130,11
20220131,9
20220201,12
20220202,10
20220203,4
20220204,3
20220205,2
20220206,1
20220207,2
20220208,1
20220209,0
20220210,1
20220211,1
20220212,1
20220213,0
20220214,0
20220215,1
20220216,0
20220217,0
20220218,3
20220219,1
20220220,1
20220221,0
20220222,3
20220223,1
20220224,1
20220225,6
20220226,5
20220227,9
20220228,7
20220301,4
20220302,2
20220303,4
20220304,14
20220305,1
20220306,1
20220307,6
20220308,12
20220309,19
20220310,24
20220311,37
20220312,23
20220313,45
20220314,54
20220315,53
20220316,58
20220317,63
20220318,29
20220319,25
20220320,22
20220321,9
20220322,28
20220323,29
20220324,25
20220325,35
20220326,17
20220327,8
20220328,7
20220329,2
20220330,4
20220331,1
20220401,1
20220402,1
20220403,0
20220404,3
20220405,4
20220406,0
20220407,1
20220408,0
20220409,1
20220410,0
20220411,0
20220412,1
20220413,0
20220414,1
20220415,0
20220416,0
20220417,0
20220418,0
20220419,0
20220420,0
20220421,0
20220422,0
20220423,0
20220424,1
20220425,0
20220426,0
20220427,1
20220428,0
20220429,0
20220430,0
20220501,1
20220502,0
20220503,0
20220504,0
20220505,0
20220506,0
20220507,0
20220508,0
20220509,0
20220510,0
20220511,0
20220512,0
20220513,0
20220514,0
20220515,0
20220516,7
20220517,16
20220518,8
20220519,8
20220520,6
20220521,36
20220522,32
