date,confirmed
20200501,0
20200502,0
20200503,1
20200504,0
20200505,0
20200506,0
20200507,0
20200508,0
20200509,0
20200510,0
20200511,0
20200512,0
20200513,0
20200514,0
20200515,0
20200516,0
20200517,0
20200518,0
20200519,0
20200520,0
20200521,0
20200522,0
20200523,0
20200524,0
20200525,0
20200526,0
20200527,0
20200528,0
20200529,2
20200530,2
20200531,0
20200601,0
20200602,0
20200603,0
20200604,0
20200605,0
20200606,0
20200607,0
20200608,0
20200609,0
20200610,0
20200611,0
20200612,0
20200613,0
20200614,0
20200615,0
20200616,0
20200617,0
20200618,0
20200619,0
20200620,0
20200621,0
20200622,0
20200623,0
20200624,0
20200625,0
20200626,0
20200627,0
20200628,0
20200629,0
20200630,0
20200701,0
20200702,0
20200703,0
20200704,0
20200705,0
20200706,0
20200707,0
20200708,0
20200709,0
20200710,0
20200711,0
20200712,1
20200713,0
20200714,0
20200715,0
20200716,1
20200717,2
20200718,1
20200719,1
20200720,0
20200721,0
20200722,0
20200723,0
20200724,0
20200725,1
20200726,0
20200727,0
20200728,0
20200729,0
20200730,0
20200731,0
20200801,3
20200802,2
20200803,0
20200804,0
20200805,1
20200806,0
20200807,1
20200808,0
20200809,4
20200810,6
20200811,1
20200812,4
20200813,0
20200814,0
20200815,0
20200816,1
20200817,0
20200818,1
20200819,1
20200820,3
20200821,3
20200822,0
20200823,1
20200824,0
20200825,0
20200826,0
20200827,0
20200828,0
20200829,0
20200830,0
20200831,0
20200901,0
20200902,0
20200903,0
20200904,0
20200905,0
20200906,0
20200907,0
20200908,0
20200909,0
20200910,0
20200911,0
20200912,0
20200913,0
20200914,0
20200915,0
20200916,0
20200917,0
20200918,0
20200919,0
20200920,0
20200921,0
20200922,1
20200923,0
20200924,0
20200925,0
20200926,0
20200927,0
20200928,0
20200929,0
20200930,0
20201001,0
20201002,0
20201003,0
20201004,0
20201005,0
20201006,0
20201007,0
20201008,0
20201009,0
20201010,0
20201011,0
20201012,6
20201013,6
20201014,1
20201015,0
20201016,0
20201017,0
20201018,0
20201019,0
20201020,0
20201021,0
20201022,0
20201023,0
20201024,0
20201025,0
20201026,1
20201027,0
20201028,0
20201029,1
20201030,0
20201031,0
20201101,0
20201102,1
20201103,0
20201104,0
20201105,0
20201106,0
20201107,0
20201108,0
20201109,0
20201110,0
20201111,0
20201112,0
20201113,0
20201114,0
20201115,0
20201116,1
20201117,0
20201118,0
20201119,0
20201120,0
20201121,0
20201122,0
20201123,0
20201124,0
20201125,0
20201126,0
20201127,0
20201128,0
20201129,5
20201130,0
20201201,0
20201202,2
20201203,1
20201204,0
20201205,0
20201206,0
20201207,0
20201208,0
20201209,0
20201210,0
20201211,0
20201212,1
20201213,0
20201214,0
20201215,1
20201216,0
20201217,0
20201218,2
20201219,0
20201220,0
20201221,0
20201222,0
20201223,0
20201224,0
20201225,0
20201226,0
20201227,0
20201228,0
20201229,1
20201230,0
20201231,0
20210101,1
20210102,0
20210103,0
20210104,0
20210105,0
20210106,0
20210107,0
20210108,1
20210109,0
20210110,0
20210111,0
20210112,0
20210113,0
20210114,0
20210115,0
20210116,1
20210117,0
20210118,0
20210119,0
20210120,1
20210121,0
20210122,0
20210123,0
20210124,0
20210125,0
20210126,0
20210127,0
20210128,0
20210129,0
20210130,0
20210131,0
20210201,0
20210202,0
20210203,0
20210204,0
20210205,0
20210206,0
20210207,0
20210208,1
20210209,0
20210210,0
20210211,0
20210212,0
20210213,0
20210214,0
20210215,0
20210216,0
20210217,0
20210218,0
20210219,0
20210220,0
20210221,0
20210222,0
20210223,1
20210224,1
20210225,0
20210226,0
20210227,0
20210228,0
20210301,0
20210302,0
20210303,0
20210304,0
20210305,0
20210306,0
20210307,0
20210308,0
20210309,0
20210310,0
20210311,0
20210312,0
20210313,0
20210314,0
20210315,0
20210316,0
20210317,0
20210318,0
20210319,0
20210320,0
20210321,0
20210322,0
20210323,0
20210324,0
20210325,0
20210326,0
20210327,0
20210328,0
20210329,0
20210330,0
20210331,1
20210401,0
20210402,0
20210403,0
20210404,0
20210405,0
20210406,1
20210407,0
20210408,0
20210409,1
20210410,0
20210411,1
20210412,0
20210413,0
20210414,0
20210415,3
20210416,0
20210417,0
20210418,0
20210419,0
20210420,0
20210421,0
20210422,0
20210423,0
20210424,0
20210425,0
20210426,0
20210427,0
20210428,0
20210429,0
20210430,0
20210501,0
20210502,0
20210503,2
20210504,1
20210505,0
20210506,0
20210507,0
20210508,0
20210509,0
20210510,0
20210511,1
20210512,1
20210513,0
20210514,1
20210515,0
20210516,0
20210517,1
20210518,0
20210519,0
20210520,0
20210521,0
20210522,0
20210523,0
20210524,0
20210525,0
20210526,0
20210527,0
20210528,0
20210529,0
20210530,0
20210531,0
20210601,0
20210602,0
20210603,0
20210604,0
20210605,0
20210606,0
20210607,0
20210608,0
20210609,0
20210610,0
20210611,0
20210612,0
20210613,0
20210614,0
20210615,0
20210616,0
20210617,0
20210618,0
20210619,0
20210620,0
20210621,0
20210622,0
20210623,0
20210624,0
20210625,0
20210626,0
20210627,0
20210628,0
20210629,0
20210630,0
20210701,0
20210702,0
20210703,0
20210704,0
20210705,0
20210706,0
20210707,0
20210708,0
20210709,0
20210710,0
20210711,0
20210712,0
20210713,0
20210714,0
20210715,0
20210716,0
20210717,0
20210718,0
20210719,0
20210720,0
20210721,0
20210722,0
20210723,0
20210724,0
20210725,0
20210726,0
20210727,1
20210728,0
20210729,1
20210730,0
20210731,1
20210801,3
20210802,1
20210803,6
20210804,4
20210805,8
20210806,0
20210807,0
20210808,0
20210809,0
20210810,1
20210811,0
20210812,1
20210813,4
20210814,3
20210815,5
20210816,1
20210817,0
20210818,0
20210819,0
20210820,0
20210821,0
20210822,0
20210823,0
20210824,0
20210825,0
20210826,0
20210827,0
20210828,0
20210829,1
20210830,1
20210831,0
20210901,0
20210902,0
20210903,0
20210904,0
20210905,0
20210906,1
20210907,0
20210908,0
20210909,1
20210910,0
20210911,0
20210912,0
20210913,1
20210914,0
20210915,1
20210916,0
20210917,0
20210918,0
20210919,1
20210920,0
20210921,0
20210922,0
20210923,0
20210924,0
20210925,1
20210926,1
20210927,0
20210928,0
20210929,1
20210930,0
20211001,0
20211002,1
20211003,3
20211004,4
20211005,1
20211006,3
20211007,2
20211008,1
20211009,2
20211010,4
20211011,0
20211012,1
20211013,2
20211014,0
20211015,0
20211016,0
20211017,5
20211018,0
20211019,0
20211020,0
20211021,2
20211022,1
20211023,0
20211024,1
20211025,2
20211026,5
20211027,1
20211028,0
20211029,0
20211030,4
20211031,4
20211101,3
20211102,1
20211103,2
20211104,0
20211105,0
20211106,1
20211107,1
20211108,0
20211109,3
20211110,0
20211111,0
20211112,0
20211113,2
20211114,3
20211115,0
20211116,0
20211117,0
20211118,2
20211119,4
20211120,0
20211121,7
20211122,0
20211123,0
20211124,2
20211125,0
20211126,2
20211127,2
20211128,3
20211129,1
20211130,0
20211201,0
20211202,0
20211203,0
20211204,0
20211205,1
20211206,1
20211207,0
20211208,0
20211209,3
20211210,7
20211211,2
20211212,0
20211213,0
20211214,1
20211215,0
20211216,0
20211217,1
20211218,0
20211219,0
20211220,0
20211221,0
20211222,0
20211223,0
20211224,1
20211225,0
20211226,0
20211227,2
20211228,1
20211229,1
20211230,0
20211231,1
20220101,2
20220102,1
20220103,1
20220104,1
20220105,1
20220106,0
20220107,0
20220108,1
20220109,0
20220110,0
20220111,0
20220112,0
20220113,0
20220114,3
20220115,0
20220116,1
20220117,0
20220118,4
20220119,0
20220120,6
20220121,1
20220122,3
20220123,2
20220124,0
20220125,0
20220126,0
20220127,2
20220128,0
20220129,0
20220130,0
20220131,3
20220201,0
20220202,0
20220203,0
20220204,0
20220205,0
20220206,0
20220207,0
20220208,0
20220209,0
20220210,1
20220211,3
20220212,1
20220213,14
20220214,2
20220215,3
20220216,9
20220217,2
20220218,1
20220219,3
20220220,0
20220221,0
20220222,3
20220223,0
20220224,2
20220225,4
20220226,2
20220227,4
20220228,3
20220301,6
20220302,4
20220303,2
20220304,14
20220305,90
20220306,47
20220307,42
20220308,61
20220309,66
20220310,121
20220311,166
20220312,186
20220313,96
20220314,115
20220315,86
20220316,42
20220317,64
20220318,44
20220319,57
20220320,16
20220321,25
20220322,24
20220323,16
20220324,13
20220325,8
20220326,5
20220327,8
20220328,13
20220329,5
20220330,2
20220331,4
20220401,10
20220402,6
20220403,7
20220404,20
20220405,5
20220406,4
20220407,6
20220408,4
20220409,4
20220410,2
20220411,3
20220412,3
20220413,1
20220414,5
20220415,1
20220416,3
20220417,3
20220418,2
20220419,1
20220420,1
20220421,0
20220422,1
20220423,4
20220424,2
20220425,1
20220426,6
20220427,8
20220428,7
20220429,9
20220430,6
20220501,5
20220502,3
20220503,4
20220504,1
20220505,0
20220506,1
20220507,1
20220508,0
20220509,0
20220510,0
20220511,0
20220512,0
20220513,1
20220514,0
20220515,0
20220516,1
20220517,0
20220518,0
20220519,0
20220520,0
20220521,0
20220522,0
