date,confirmed
20200501,0
20200502,0
20200503,0
20200504,0
20200505,0
20200506,1
20200507,0
20200508,0
20200509,0
20200510,0
20200511,0
20200512,0
20200513,0
20200514,0
20200515,0
20200516,1
20200517,0
20200518,0
20200519,0
20200520,1
20200521,0
20200522,0
20200523,1
20200524,0
20200525,0
20200526,0
20200527,0
20200528,0
20200529,1
20200530,0
20200531,2
20200601,1
20200602,1
20200603,1
20200604,0
20200605,3
20200606,1
20200607,0
20200608,2
20200609,0
20200610,3
20200611,0
20200612,1
20200613,17
20200614,0
20200615,3
20200616,0
20200617,0
20200618,3
20200619,3
20200620,0
20200621,0
20200622,0
20200623,0
20200624,1
20200625,0
20200626,2
20200627,0
20200628,0
20200629,4
20200630,0
20200701,1
20200702,0
20200703,1
20200704,0
20200705,0
20200706,1
20200707,1
20200708,2
20200709,0
20200710,1
20200711,0
20200712,2
20200713,0
20200714,0
20200715,0
20200716,4
20200717,3
20200718,2
20200719,0
20200720,0
20200721,2
20200722,1
20200723,5
20200724,2
20200725,3
20200726,0
20200727,0
20200728,2
20200729,1
20200730,3
20200731,2
20200801,2
20200802,1
20200803,4
20200804,0
20200805,0
20200806,0
20200807,1
20200808,5
20200809,3
20200810,3
20200811,6
20200812,2
20200813,0
20200814,2
20200815,3
20200816,8
20200817,1
20200818,4
20200819,0
20200820,0
20200821,0
20200822,2
20200823,0
20200824,3
20200825,4
20200826,0
20200827,1
20200828,2
20200829,1
20200830,1
20200831,1
20200901,2
20200902,3
20200903,13
20200904,2
20200905,3
20200906,4
20200907,2
20200908,0
20200909,1
20200910,4
20200911,2
20200912,1
20200913,1
20200914,4
20200915,1
20200916,1
20200917,3
20200918,6
20200919,4
20200920,3
20200921,3
20200922,4
20200923,0
20200924,2
20200925,3
20200926,2
20200927,5
20200928,0
20200929,8
20200930,2
20201001,2
20201002,3
20201003,6
20201004,1
20201005,5
20201006,2
20201007,0
20201008,3
20201009,1
20201010,6
20201011,3
20201012,2
20201013,6
20201014,4
20201015,2
20201016,2
20201017,4
20201018,3
20201019,5
20201020,3
20201021,3
20201022,0
20201023,9
20201024,3
20201025,1
20201026,1
20201027,2
20201028,3
20201029,2
20201030,3
20201031,3
20201101,5
20201102,8
20201103,3
20201104,0
20201105,3
20201106,2
20201107,2
20201108,4
20201109,6
20201110,0
20201111,1
20201112,0
20201113,7
20201114,3
20201115,2
20201116,3
20201117,1
20201118,1
20201119,2
20201120,0
20201121,0
20201122,4
20201123,4
20201124,1
20201125,4
20201126,0
20201127,0
20201128,0
20201129,1
20201130,0
20201201,3
20201202,4
20201203,1
20201204,3
20201205,2
20201206,2
20201207,3
20201208,2
20201209,1
20201210,3
20201211,2
20201212,1
20201213,1
20201214,1
20201215,3
20201216,1
20201217,4
20201218,1
20201219,1
20201220,3
20201221,3
20201222,1
20201223,1
20201224,1
20201225,1
20201226,0
20201227,1
20201228,1
20201229,1
20201230,3
20201231,2
20210101,3
20210102,2
20210103,2
20210104,4
20210105,3
20210106,2
20210107,3
20210108,2
20210109,1
20210110,7
20210111,1
20210112,2
20210113,3
20210114,3
20210115,0
20210116,2
20210117,1
20210118,3
20210119,3
20210120,1
20210121,4
20210122,1
20210123,5
20210124,2
20210125,2
20210126,7
20210127,1
20210128,5
20210129,0
20210130,3
20210131,1
20210201,2
20210202,2
20210203,3
20210204,2
20210205,1
20210206,2
20210207,7
20210208,7
20210209,0
20210210,1
20210211,2
20210212,3
20210213,2
20210214,4
20210215,8
20210216,6
20210217,3
20210218,0
20210219,3
20210220,1
20210221,3
20210222,9
20210223,1
20210224,1
20210225,2
20210226,5
20210227,1
20210228,6
20210301,3
20210302,3
20210303,3
20210304,1
20210305,3
20210306,4
20210307,4
20210308,2
20210309,1
20210310,2
20210311,2
20210312,3
20210313,1
20210314,1
20210315,0
20210316,0
20210317,1
20210318,3
20210319,2
20210320,1
20210321,1
20210322,4
20210323,2
20210324,4
20210325,2
20210326,1
20210327,1
20210328,8
20210329,2
20210330,2
20210331,3
20210401,0
20210402,3
20210403,2
20210404,0
20210405,2
20210406,1
20210407,1
20210408,4
20210409,0
20210410,1
20210411,3
20210412,2
20210413,3
20210414,4
20210415,2
20210416,3
20210417,4
20210418,2
20210419,0
20210420,1
20210421,2
20210422,5
20210423,1
20210424,0
20210425,1
20210426,2
20210427,3
20210428,1
20210429,2
20210430,7
20210501,6
20210502,4
20210503,4
20210504,1
20210505,1
20210506,5
20210507,0
20210508,5
20210509,2
20210510,1
20210511,8
20210512,2
20210513,3
20210514,1
20210515,5
20210516,4
20210517,1
20210518,1
20210519,1
20210520,1
20210521,6
20210522,3
20210523,3
20210524,0
20210525,1
20210526,14
20210527,1
20210528,3
20210529,1
20210530,23
20210531,13
20210601,13
20210602,17
20210603,11
20210604,16
20210605,9
20210606,8
20210607,22
20210608,9
20210609,9
20210610,11
20210611,12
20210612,13
20210613,7
20210614,10
20210615,15
20210616,7
20210617,9
20210618,14
20210619,12
20210620,7
20210621,7
20210622,3
20210623,8
20210624,6
20210625,4
20210626,1
20210627,5
20210628,3
20210629,1
20210630,0
20210701,8
20210702,3
20210703,3
20210704,5
20210705,3
20210706,5
20210707,2
20210708,3
20210709,1
20210710,1
20210711,3
20210712,3
20210713,2
20210714,12
20210715,4
20210716,1
20210717,4
20210718,8
20210719,4
20210720,1
20210721,7
20210722,14
20210723,5
20210724,6
20210725,8
20210726,13
20210727,3
20210728,3
20210729,9
20210730,1
20210731,2
20210801,2
20210802,6
20210803,2
20210804,2
20210805,13
20210806,3
20210807,3
20210808,8
20210809,8
20210810,2
20210811,5
20210812,9
20210813,3
20210814,13
20210815,5
20210816,9
20210817,1
20210818,10
20210819,9
20210820,4
20210821,6
20210822,5
20210823,8
20210824,3
20210825,9
20210826,8
20210827,3
20210828,3
20210829,9
20210830,4
20210831,6
20210901,9
20210902,5
20210903,4
20210904,4
20210905,7
20210906,2
20210907,4
20210908,4
20210909,5
20210910,2
20210911,6
20210912,3
20210913,8
20210914,4
20210915,3
20210916,2
20210917,3
20210918,2
20210919,0
20210920,3
20210921,2
20210922,2
20210923,1
20210924,9
20210925,4
20210926,1
20210927,3
20210928,1
20210929,3
20210930,6
20211001,3
20211002,3
20211003,4
20211004,4
20211005,0
20211006,0
20211007,2
20211008,0
20211009,0
20211010,2
20211011,0
20211012,2
20211013,2
20211014,0
20211015,0
20211016,0
20211017,2
20211018,3
20211019,3
20211020,1
20211021,1
20211022,1
20211023,1
20211024,0
20211025,4
20211026,2
20211027,0
20211028,4
20211029,2
20211030,1
20211031,0
20211101,2
20211102,4
20211103,3
20211104,1
20211105,3
20211106,3
20211107,3
20211108,4
20211109,1
20211110,1
20211111,2
20211112,1
20211113,1
20211114,4
20211115,2
20211116,1
20211117,4
20211118,3
20211119,2
20211120,3
20211121,2
20211122,5
20211123,2
20211124,4
20211125,6
20211126,3
20211127,3
20211128,4
20211129,9
20211130,4
20211201,1
20211202,3
20211203,4
20211204,1
20211205,1
20211206,3
20211207,3
20211208,3
20211209,0
20211210,0
20211211,1
20211212,5
20211213,4
20211214,4
20211215,6
20211216,6
20211217,7
20211218,8
20211219,10
20211220,10
20211221,5
20211222,9
20211223,5
20211224,6
20211225,2
20211226,6
20211227,2
20211228,4
20211229,10
20211230,3
20211231,11
20220101,10
20220102,6
20220103,13
20220104,7
20220105,10
20220106,9
20220107,9
20220108,9
20220109,9
20220110,18
20220111,27
20220112,18
20220113,10
20220114,13
20220115,15
20220116,17
20220117,18
20220118,9
20220119,5
20220120,14
20220121,7
20220122,8
20220123,6
20220124,2
20220125,1
20220126,3
20220127,7
20220128,6
20220129,2
20220130,7
20220131,9
20220201,11
20220202,13
20220203,13
20220204,10
20220205,8
20220206,25
20220207,18
20220208,18
20220209,9
20220210,15
20220211,24
20220212,20
20220213,28
20220214,18
20220215,27
20220216,29
20220217,25
20220218,25
20220219,40
20220220,26
20220221,25
20220222,45
20220223,52
20220224,60
20220225,89
20220226,83
20220227,93
20220228,75
20220301,115
20220302,94
20220303,139
20220304,125
20220305,92
20220306,120
20220307,92
20220308,46
20220309,50
20220310,62
20220311,63
20220312,96
20220313,121
20220314,68
20220315,80
20220316,104
20220317,89
20220318,65
20220319,73
20220320,45
20220321,37
20220322,23
20220323,16
20220324,15
20220325,11
20220326,10
20220327,10
20220328,11
20220329,15
20220330,14
20220331,6
20220401,4
20220402,12
20220403,13
20220404,9
20220405,12
20220406,1
20220407,12
20220408,9
20220409,17
20220410,22
20220411,20
20220412,26
20220413,48
20220414,24
20220415,26
20220416,32
20220417,28
20220418,24
20220419,15
20220420,9
20220421,6
20220422,11
20220423,9
20220424,5
20220425,6
20220426,1
20220427,1
20220428,3
20220429,29
20220430,21
20220501,28
20220502,9
20220503,12
20220504,16
20220505,15
20220506,10
20220507,22
20220508,35
20220509,17
20220510,2
20220511,5
20220512,12
20220513,8
20220514,1
20220515,7
20220516,2
20220517,2
20220518,3
20220519,3
20220520,4
20220521,1
20220522,1
