date,confirmed
20200501,0
20200502,0
20200503,0
20200504,0
20200505,0
20200506,0
20200507,0
20200508,0
20200509,0
20200510,0
20200511,0
20200512,0
20200513,0
20200514,0
20200515,0
20200516,0
20200517,0
20200518,0
20200519,0
20200520,0
20200521,0
20200522,0
20200523,0
20200524,0
20200525,1
20200526,0
20200527,1
20200528,0
20200529,0
20200530,0
20200531,0
20200601,0
20200602,0
20200603,0
20200604,0
20200605,0
20200606,1
20200607,0
20200608,0
20200609,0
20200610,1
20200611,1
20200612,0
20200613,0
20200614,1
20200615,0
20200616,0
20200617,0
20200618,0
20200619,0
20200620,1
20200621,0
20200622,0
20200623,0
20200624,0
20200625,0
20200626,0
20200627,0
20200628,0
20200629,0
20200630,0
20200701,0
20200702,0
20200703,0
20200704,0
20200705,0
20200706,0
20200707,0
20200708,0
20200709,0
20200710,0
20200711,0
20200712,0
20200713,0
20200714,0
20200715,0
20200716,0
20200717,1
20200718,0
20200719,0
20200720,0
20200721,0
20200722,0
20200723,0
20200724,0
20200725,1
20200726,1
20200727,0
20200728,0
20200729,0
20200730,0
20200731,0
20200801,1
20200802,0
20200803,0
20200804,0
20200805,0
20200806,0
20200807,0
20200808,0
20200809,0
20200810,1
20200811,1
20200812,0
20200813,0
20200814,0
20200815,1
20200816,1
20200817,0
20200818,0
20200819,0
20200820,0
20200821,1
20200822,1
20200823,3
20200824,0
20200825,0
20200826,0
20200827,1
20200828,2
20200829,2
20200830,2
20200831,1
20200901,0
20200902,0
20200903,1
20200904,1
20200905,1
20200906,0
20200907,1
20200908,0
20200909,0
20200910,0
20200911,1
20200912,0
20200913,2
20200914,0
20200915,2
20200916,0
20200917,1
20200918,1
20200919,1
20200920,1
20200921,0
20200922,0
20200923,0
20200924,0
20200925,1
20200926,4
20200927,2
20200928,1
20200929,5
20200930,0
20201001,2
20201002,0
20201003,0
20201004,2
20201005,0
20201006,0
20201007,1
20201008,0
20201009,0
20201010,1
20201011,1
20201012,0
20201013,0
20201014,0
20201015,1
20201016,0
20201017,0
20201018,0
20201019,1
20201020,1
20201021,1
20201022,7
20201023,2
20201024,0
20201025,1
20201026,1
20201027,0
20201028,1
20201029,4
20201030,0
20201031,1
20201101,0
20201102,4
20201103,2
20201104,1
20201105,2
20201106,9
20201107,1
20201108,0
20201109,3
20201110,0
20201111,1
20201112,0
20201113,1
20201114,0
20201115,0
20201116,0
20201117,0
20201118,2
20201119,6
20201120,0
20201121,4
20201122,1
20201123,4
20201124,1
20201125,1
20201126,1
20201127,2
20201128,4
20201129,0
20201130,2
20201201,1
20201202,0
20201203,2
20201204,1
20201205,6
20201206,1
20201207,0
20201208,0
20201209,1
20201210,0
20201211,1
20201212,0
20201213,0
20201214,0
20201215,1
20201216,0
20201217,0
20201218,1
20201219,1
20201220,2
20201221,0
20201222,0
20201223,0
20201224,0
20201225,1
20201226,0
20201227,0
20201228,1
20201229,2
20201230,1
20201231,1
20210101,1
20210102,2
20210103,1
20210104,1
20210105,0
20210106,0
20210107,1
20210108,1
20210109,6
20210110,1
20210111,1
20210112,1
20210113,0
20210114,0
20210115,0
20210116,2
20210117,1
20210118,0
20210119,1
20210120,0
20210121,1
20210122,0
20210123,0
20210124,1
20210125,1
20210126,0
20210127,0
20210128,0
20210129,3
20210130,2
20210131,0
20210201,0
20210202,0
20210203,3
20210204,1
20210205,0
20210206,0
20210207,0
20210208,1
20210209,1
20210210,1
20210211,0
20210212,0
20210213,0
20210214,0
20210215,0
20210216,0
20210217,0
20210218,0
20210219,0
20210220,0
20210221,1
20210222,0
20210223,0
20210224,0
20210225,0
20210226,0
20210227,2
20210228,0
20210301,0
20210302,0
20210303,0
20210304,0
20210305,0
20210306,0
20210307,1
20210308,0
20210309,0
20210310,1
20210311,0
20210312,0
20210313,2
20210314,1
20210315,0
20210316,1
20210317,0
20210318,0
20210319,0
20210320,0
20210321,2
20210322,0
20210323,0
20210324,0
20210325,1
20210326,0
20210327,0
20210328,0
20210329,0
20210330,1
20210331,0
20210401,0
20210402,9
20210403,1
20210404,1
20210405,0
20210406,1
20210407,0
20210408,1
20210409,2
20210410,0
20210411,4
20210412,1
20210413,1
20210414,0
20210415,1
20210416,0
20210417,1
20210418,0
20210419,2
20210420,0
20210421,0
20210422,0
20210423,0
20210424,3
20210425,1
20210426,0
20210427,0
20210428,0
20210429,1
20210430,1
20210501,1
20210502,0
20210503,0
20210504,0
20210505,0
20210506,2
20210507,0
20210508,0
20210509,0
20210510,2
20210511,0
20210512,0
20210513,1
20210514,0
20210515,0
20210516,0
20210517,1
20210518,0
20210519,0
20210520,11
20210521,0
20210522,2
20210523,1
20210524,2
20210525,1
20210526,1
20210527,0
20210528,1
20210529,2
20210530,1
20210531,0
20210601,3
20210602,1
20210603,0
20210604,3
20210605,1
20210606,0
20210607,2
20210608,1
20210609,0
20210610,3
20210611,1
20210612,1
20210613,0
20210614,1
20210615,2
20210616,3
20210617,5
20210618,4
20210619,1
20210620,1
20210621,7
20210622,1
20210623,1
20210624,0
20210625,4
20210626,4
20210627,3
20210628,3
20210629,2
20210630,3
20210701,5
20210702,1
20210703,2
20210704,0
20210705,1
20210706,1
20210707,2
20210708,0
20210709,0
20210710,0
20210711,4
20210712,2
20210713,1
20210714,1
20210715,0
20210716,4
20210717,4
20210718,1
20210719,1
20210720,1
20210721,0
20210722,0
20210723,4
20210724,4
20210725,5
20210726,0
20210727,3
20210728,3
20210729,3
20210730,3
20210731,1
20210801,4
20210802,2
20210803,5
20210804,3
20210805,0
20210806,0
20210807,0
20210808,0
20210809,3
20210810,0
20210811,1
20210812,0
20210813,11
20210814,1
20210815,4
20210816,0
20210817,2
20210818,4
20210819,2
20210820,1
20210821,0
20210822,0
20210823,2
20210824,0
20210825,1
20210826,0
20210827,1
20210828,1
20210829,1
20210830,2
20210831,1
20210901,1
20210902,0
20210903,2
20210904,0
20210905,1
20210906,4
20210907,0
20210908,2
20210909,1
20210910,3
20210911,21
20210912,22
20210913,60
20210914,51
20210915,48
20210916,61
20210917,31
20210918,43
20210919,29
20210920,44
20210921,15
20210922,20
20210923,16
20210924,3
20210925,5
20210926,2
20210927,2
20210928,5
20210929,1
20210930,0
20211001,0
20211002,5
20211003,0
20211004,2
20211005,1
20211006,0
20211007,0
20211008,1
20211009,1
20211010,0
20211011,1
20211012,1
20211013,0
20211014,0
20211015,0
20211016,0
20211017,0
20211018,1
20211019,1
20211020,0
20211021,0
20211022,2
20211023,0
20211024,0
20211025,1
20211026,1
20211027,2
20211028,0
20211029,1
20211030,0
20211031,3
20211101,2
20211102,0
20211103,0
20211104,0
20211105,3
20211106,1
20211107,1
20211108,1
20211109,0
20211110,0
20211111,1
20211112,1
20211113,0
20211114,2
20211115,0
20211116,0
20211117,0
20211118,0
20211119,1
20211120,0
20211121,0
20211122,0
20211123,0
20211124,1
20211125,0
20211126,0
20211127,0
20211128,0
20211129,1
20211130,1
20211201,0
20211202,0
20211203,0
20211204,0
20211205,1
20211206,0
20211207,3
20211208,1
20211209,3
20211210,0
20211211,1
20211212,0
20211213,2
20211214,0
20211215,3
20211216,0
20211217,2
20211218,2
20211219,0
20211220,5
20211221,0
20211222,1
20211223,0
20211224,1
20211225,3
20211226,0
20211227,2
20211228,2
20211229,4
20211230,1
20211231,4
20220101,9
20220102,2
20220103,9
20220104,7
20220105,6
20220106,1
20220107,4
20220108,9
20220109,5
20220110,10
20220111,4
20220112,5
20220113,3
20220114,3
20220115,1
20220116,1
20220117,1
20220118,1
20220119,0
20220120,2
20220121,4
20220122,1
20220123,2
20220124,0
20220125,0
20220126,0
20220127,0
20220128,0
20220129,1
20220130,1
20220131,0
20220201,0
20220202,0
20220203,1
20220204,0
20220205,3
20220206,1
20220207,0
20220208,2
20220209,1
20220210,10
20220211,14
20220212,1
20220213,5
20220214,8
20220215,6
20220216,3
20220217,3
20220218,0
20220219,4
20220220,3
20220221,10
20220222,2
20220223,6
20220224,4
20220225,7
20220226,5
20220227,4
20220228,3
20220301,1
20220302,4
20220303,2
20220304,16
20220305,2
20220306,0
20220307,1
20220308,2
20220309,1
20220310,1
20220311,1
20220312,1
20220313,11
20220314,39
20220315,25
20220316,101
20220317,116
20220318,202
20220319,160
20220320,160
20220321,115
20220322,116
20220323,72
20220324,18
20220325,5
20220326,1
20220327,12
20220328,10
20220329,10
20220330,11
20220331,7
20220401,13
20220402,11
20220403,19
20220404,9
20220405,8
20220406,22
20220407,22
20220408,5
20220409,12
20220410,9
20220411,7
20220412,8
20220413,13
20220414,16
20220415,21
20220416,3
20220417,1
20220418,1
20220419,2
20220420,4
20220421,6
20220422,4
20220423,1
20220424,3
20220425,3
20220426,1
20220427,2
20220428,3
20220429,4
20220430,1
20220501,2
20220502,6
20220503,4
20220504,2
20220505,14
20220506,2
20220507,5
20220508,4
20220509,1
20220510,11
20220511,4
20220512,15
20220513,17
20220514,7
20220515,7
20220516,9
20220517,9
20220518,7
20220519,9
20220520,9
20220521,7
20220522,8
