date,confirmed
20200501,0
20200502,0
20200503,0
20200504,0
20200505,2
20200506,0
20200507,0
20200508,0
20200509,0
20200510,0
20200511,0
20200512,0
20200513,0
20200514,0
20200515,0
20200516,0
20200517,0
20200518,0
20200519,0
20200520,0
20200521,0
20200522,0
20200523,0
20200524,0
20200525,0
20200526,0
20200527,0
20200528,0
20200529,0
20200530,0
20200531,0
20200601,1
20200602,0
20200603,0
20200604,0
20200605,0
20200606,2
20200607,0
20200608,0
20200609,0
20200610,0
20200611,0
20200612,0
20200613,0
20200614,2
20200615,0
20200616,0
20200617,1
20200618,0
20200619,0
20200620,0
20200621,2
20200622,1
20200623,1
20200624,1
20200625,0
20200626,0
20200627,1
20200628,0
20200629,0
20200630,0
20200701,0
20200702,0
20200703,0
20200704,0
20200705,1
20200706,0
20200707,0
20200708,0
20200709,0
20200710,0
20200711,0
20200712,0
20200713,0
20200714,0
20200715,0
20200716,1
20200717,0
20200718,0
20200719,0
20200720,0
20200721,0
20200722,1
20200723,0
20200724,0
20200725,0
20200726,0
20200727,0
20200728,0
20200729,1
20200730,0
20200731,0
20200801,2
20200802,0
20200803,0
20200804,1
20200805,1
20200806,0
20200807,0
20200808,0
20200809,3
20200810,9
20200811,1
20200812,0
20200813,5
20200814,2
20200815,3
20200816,3
20200817,2
20200818,2
20200819,0
20200820,0
20200821,2
20200822,2
20200823,0
20200824,2
20200825,0
20200826,0
20200827,0
20200828,0
20200829,0
20200830,1
20200831,0
20200901,0
20200902,6
20200903,2
20200904,1
20200905,3
20200906,0
20200907,1
20200908,0
20200909,0
20200910,1
20200911,1
20200912,1
20200913,0
20200914,0
20200915,1
20200916,2
20200917,13
20200918,2
20200919,0
20200920,2
20200921,0
20200922,0
20200923,1
20200924,0
20200925,1
20200926,0
20200927,0
20200928,3
20200929,2
20200930,1
20201001,1
20201002,1
20201003,2
20201004,0
20201005,1
20201006,0
20201007,1
20201008,10
20201009,3
20201010,0
20201011,0
20201012,0
20201013,3
20201014,2
20201015,0
20201016,1
20201017,2
20201018,2
20201019,0
20201020,0
20201021,0
20201022,0
20201023,3
20201024,1
20201025,2
20201026,3
20201027,6
20201028,1
20201029,0
20201030,0
20201031,1
20201101,0
20201102,0
20201103,1
20201104,3
20201105,0
20201106,4
20201107,9
20201108,6
20201109,1
20201110,1
20201111,2
20201112,1
20201113,1
20201114,2
20201115,1
20201116,0
20201117,0
20201118,0
20201119,3
20201120,0
20201121,2
20201122,1
20201123,2
20201124,1
20201125,0
20201126,1
20201127,0
20201128,1
20201129,0
20201130,1
20201201,1
20201202,1
20201203,0
20201204,0
20201205,1
20201206,0
20201207,0
20201208,0
20201209,0
20201210,0
20201211,0
20201212,0
20201213,0
20201214,0
20201215,0
20201216,0
20201217,0
20201218,0
20201219,2
20201220,0
20201221,0
20201222,0
20201223,0
20201224,0
20201225,1
20201226,0
20201227,0
20201228,0
20201229,0
20201230,1
20201231,1
20210101,1
20210102,2
20210103,6
20210104,0
20210105,3
20210106,2
20210107,0
20210108,0
20210109,1
20210110,1
20210111,1
20210112,0
20210113,0
20210114,2
20210115,1
20210116,0
20210117,3
20210118,1
20210119,2
20210120,0
20210121,0
20210122,0
20210123,1
20210124,0
20210125,1
20210126,0
20210127,1
20210128,0
20210129,1
20210130,2
20210131,0
20210201,1
20210202,1
20210203,0
20210204,0
20210205,1
20210206,0
20210207,0
20210208,0
20210209,1
20210210,0
20210211,0
20210212,0
20210213,1
20210214,1
20210215,2
20210216,0
20210217,0
20210218,0
20210219,0
20210220,0
20210221,0
20210222,0
20210223,2
20210224,0
20210225,0
20210226,2
20210227,0
20210228,0
20210301,1
20210302,1
20210303,0
20210304,0
20210305,2
20210306,0
20210307,2
20210308,0
20210309,1
20210310,0
20210311,1
20210312,0
20210313,1
20210314,1
20210315,0
20210316,0
20210317,0
20210318,1
20210319,0
20210320,0
20210321,0
20210322,2
20210323,0
20210324,0
20210325,1
20210326,0
20210327,1
20210328,0
20210329,0
20210330,1
20210331,0
20210401,1
20210402,0
20210403,0
20210404,4
20210405,0
20210406,0
20210407,1
20210408,2
20210409,1
20210410,0
20210411,2
20210412,0
20210413,0
20210414,0
20210415,1
20210416,2
20210417,4
20210418,1
20210419,1
20210420,0
20210421,0
20210422,0
20210423,1
20210424,0
20210425,1
20210426,0
20210427,1
20210428,0
20210429,0
20210430,0
20210501,0
20210502,0
20210503,0
20210504,0
20210505,0
20210506,1
20210507,1
20210508,0
20210509,2
20210510,1
20210511,1
20210512,1
20210513,0
20210514,2
20210515,1
20210516,0
20210517,6
20210518,2
20210519,1
20210520,0
20210521,0
20210522,0
20210523,2
20210524,1
20210525,1
20210526,0
20210527,0
20210528,2
20210529,1
20210530,0
20210531,0
20210601,0
20210602,0
20210603,1
20210604,0
20210605,1
20210606,0
20210607,0
20210608,0
20210609,2
20210610,0
20210611,1
20210612,1
20210613,0
20210614,0
20210615,0
20210616,0
20210617,0
20210618,2
20210619,0
20210620,0
20210621,0
20210622,0
20210623,0
20210624,0
20210625,0
20210626,0
20210627,0
20210628,2
20210629,0
20210630,1
20210701,0
20210702,1
20210703,0
20210704,1
20210705,0
20210706,2
20210707,0
20210708,0
20210709,3
20210710,1
20210711,0
20210712,1
20210713,1
20210714,0
20210715,1
20210716,2
20210717,2
20210718,3
20210719,0
20210720,6
20210721,2
20210722,2
20210723,0
20210724,0
20210725,0
20210726,0
20210727,1
20210728,0
20210729,0
20210730,0
20210731,0
20210801,3
20210802,2
20210803,0
20210804,0
20210805,2
20210806,0
20210807,0
20210808,1
20210809,1
20210810,0
20210811,0
20210812,1
20210813,1
20210814,0
20210815,0
20210816,1
20210817,0
20210818,0
20210819,0
20210820,0
20210821,0
20210822,0
20210823,1
20210824,0
20210825,0
20210826,0
20210827,0
20210828,0
20210829,0
20210830,0
20210831,0
20210901,0
20210902,1
20210903,0
20210904,0
20210905,0
20210906,0
20210907,0
20210908,0
20210909,0
20210910,0
20210911,0
20210912,1
20210913,0
20210914,0
20210915,0
20210916,0
20210917,0
20210918,0
20210919,0
20210920,0
20210921,0
20210922,0
20210923,0
20210924,0
20210925,0
20210926,0
20210927,0
20210928,0
20210929,0
20210930,0
20211001,1
20211002,0
20211003,0
20211004,3
20211005,0
20211006,0
20211007,0
20211008,1
20211009,0
20211010,0
20211011,1
20211012,0
20211013,0
20211014,1
20211015,1
20211016,1
20211017,5
20211018,5
20211019,2
20211020,0
20211021,4
20211022,0
20211023,1
20211024,2
20211025,0
20211026,0
20211027,0
20211028,0
20211029,0
20211030,0
20211031,0
20211101,0
20211102,0
20211103,0
20211104,0
20211105,1
20211106,2
20211107,0
20211108,1
20211109,0
20211110,0
20211111,0
20211112,0
20211113,0
20211114,1
20211115,0
20211116,1
20211117,0
20211118,0
20211119,0
20211120,0
20211121,1
20211122,1
20211123,0
20211124,2
20211125,0
20211126,0
20211127,0
20211128,0
20211129,0
20211130,0
20211201,1
20211202,1
20211203,0
20211204,0
20211205,2
20211206,1
20211207,1
20211208,1
20211209,3
20211210,2
20211211,1
20211212,1
20211213,1
20211214,4
20211215,5
20211216,5
20211217,7
20211218,10
20211219,25
20211220,44
20211221,53
20211222,63
20211223,54
20211224,86
20211225,161
20211226,152
20211227,182
20211228,152
20211229,156
20211230,165
20211231,175
20220101,123
20220102,93
20220103,95
20220104,36
20220105,63
20220106,57
20220107,46
20220108,30
20220109,15
20220110,13
20220111,8
20220112,6
20220113,8
20220114,4
20220115,1
20220116,5
20220117,1
20220118,0
20220119,0
20220120,3
20220121,0
20220122,0
20220123,0
20220124,0
20220125,0
20220126,0
20220127,0
20220128,0
20220129,0
20220130,0
20220131,0
20220201,0
20220202,0
20220203,0
20220204,0
20220205,0
20220206,0
20220207,0
20220208,0
20220209,0
20220210,0
20220211,0
20220212,0
20220213,0
20220214,0
20220215,0
20220216,0
20220217,0
20220218,0
20220219,0
20220220,0
20220221,0
20220222,0
20220223,0
20220224,0
20220225,0
20220226,0
20220227,0
20220228,0
20220301,0
20220302,0
20220303,0
20220304,0
20220305,2
20220306,0
20220307,5
20220308,17
20220309,21
20220310,18
20220311,30
20220312,39
20220313,60
20220314,53
20220315,28
20220316,26
20220317,33
20220318,11
20220319,15
20220320,14
20220321,7
20220322,3
20220323,1
20220324,3
20220325,1
20220326,1
20220327,4
20220328,3
20220329,0
20220330,0
20220331,0
20220401,0
20220402,3
20220403,1
20220404,0
20220405,1
20220406,0
20220407,11
20220408,8
20220409,2
20220410,7
20220411,0
20220412,2
20220413,2
20220414,3
20220415,1
20220416,3
20220417,2
20220418,1
20220419,5
20220420,0
20220421,3
20220422,0
20220423,0
20220424,0
20220425,0
20220426,0
20220427,1
20220428,0
20220429,0
20220430,0
20220501,0
20220502,0
20220503,0
20220504,0
20220505,0
20220506,0
20220507,0
20220508,0
20220509,0
20220510,0
20220511,0
20220512,1
20220513,0
20220514,0
20220515,0
20220516,0
20220517,0
20220518,0
20220519,0
20220520,0
20220521,1
20220522,0
